county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day
Orange,2097,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2098,Governor,,REP,JOHN H. COX,85,47,0,38
Orange,2098,Governor,,DEM,GAVIN NEWSOM,146,84,4,58
Orange,2099,Governor,,REP,JOHN H. COX,33,20,1,12
Orange,2099,Governor,,DEM,GAVIN NEWSOM,96,56,2,38
Orange,2100,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2100,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2101,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2101,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2102,Governor,,REP,JOHN H. COX,1,0,0,1
Orange,2102,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2108,Governor,,REP,JOHN H. COX,2,2,0,0
Orange,2108,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2109,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2109,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2111,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2111,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2117,Governor,,REP,JOHN H. COX,406,280,12,114
Orange,2117,Governor,,DEM,GAVIN NEWSOM,968,558,18,392
Orange,2122,Governor,,REP,JOHN H. COX,1,1,0,0
Orange,2122,Governor,,DEM,GAVIN NEWSOM,5,5,0,0
Orange,2128,Governor,,REP,JOHN H. COX,381,243,6,132
Orange,2128,Governor,,DEM,GAVIN NEWSOM,596,337,17,242
Orange,2133,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2133,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2143,Governor,,REP,JOHN H. COX,355,228,14,113
Orange,2143,Governor,,DEM,GAVIN NEWSOM,878,526,37,315
Orange,2148,Governor,,REP,JOHN H. COX,356,239,3,114
Orange,2148,Governor,,DEM,GAVIN NEWSOM,358,215,8,135
Orange,2152,Governor,,REP,JOHN H. COX,598,374,11,213
Orange,2152,Governor,,DEM,GAVIN NEWSOM,653,421,12,220
Orange,2153,Governor,,REP,JOHN H. COX,20,15,3,2
Orange,2153,Governor,,DEM,GAVIN NEWSOM,73,67,1,5
Orange,2160,Governor,,REP,JOHN H. COX,444,270,5,169
Orange,2160,Governor,,DEM,GAVIN NEWSOM,560,316,12,232
Orange,2166,Governor,,REP,JOHN H. COX,589,356,5,228
Orange,2166,Governor,,DEM,GAVIN NEWSOM,787,427,14,346
Orange,2171,Governor,,REP,JOHN H. COX,368,236,2,130
Orange,2171,Governor,,DEM,GAVIN NEWSOM,436,277,4,155
Orange,2181,Governor,,REP,JOHN H. COX,504,383,8,113
Orange,2181,Governor,,DEM,GAVIN NEWSOM,816,565,7,244
Orange,2182,Governor,,REP,JOHN H. COX,242,159,2,81
Orange,2182,Governor,,DEM,GAVIN NEWSOM,286,202,6,78
Orange,2187,Governor,,REP,JOHN H. COX,352,209,11,132
Orange,2187,Governor,,DEM,GAVIN NEWSOM,893,547,20,326
Orange,2193,Governor,,REP,JOHN H. COX,342,192,8,142
Orange,2193,Governor,,DEM,GAVIN NEWSOM,1064,606,22,436
Orange,2194,Governor,,REP,JOHN H. COX,449,280,24,145
Orange,2194,Governor,,DEM,GAVIN NEWSOM,985,586,55,344
Orange,2201,Governor,,REP,JOHN H. COX,418,285,9,124
Orange,2201,Governor,,DEM,GAVIN NEWSOM,615,366,6,243
Orange,2205,Governor,,REP,JOHN H. COX,186,105,4,77
Orange,2205,Governor,,DEM,GAVIN NEWSOM,484,278,9,197
Orange,2212,Governor,,REP,JOHN H. COX,220,149,2,69
Orange,2212,Governor,,DEM,GAVIN NEWSOM,368,237,4,127
Orange,2216,Governor,,REP,JOHN H. COX,306,180,7,119
Orange,2216,Governor,,DEM,GAVIN NEWSOM,921,519,31,371
Orange,2223,Governor,,REP,JOHN H. COX,376,226,17,133
Orange,2223,Governor,,DEM,GAVIN NEWSOM,759,450,24,285
Orange,2224,Governor,,REP,JOHN H. COX,283,178,10,95
Orange,2224,Governor,,DEM,GAVIN NEWSOM,249,143,6,100
Orange,2225,Governor,,REP,JOHN H. COX,334,206,10,118
Orange,2225,Governor,,DEM,GAVIN NEWSOM,827,499,45,283
Orange,2228,Governor,,REP,JOHN H. COX,95,47,1,47
Orange,2228,Governor,,DEM,GAVIN NEWSOM,311,151,8,152
Orange,2229,Governor,,REP,JOHN H. COX,387,213,7,167
Orange,2229,Governor,,DEM,GAVIN NEWSOM,485,266,7,212
Orange,2230,Governor,,REP,JOHN H. COX,378,210,4,164
Orange,2230,Governor,,DEM,GAVIN NEWSOM,471,277,15,179
Orange,2234,Governor,,REP,JOHN H. COX,833,542,11,280
Orange,2234,Governor,,DEM,GAVIN NEWSOM,491,299,12,180
Orange,2235,Governor,,REP,JOHN H. COX,438,252,1,185
Orange,2235,Governor,,DEM,GAVIN NEWSOM,431,264,3,164
Orange,2237,Governor,,REP,JOHN H. COX,450,260,3,187
Orange,2237,Governor,,DEM,GAVIN NEWSOM,286,175,3,108
Orange,2238,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2238,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2242,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2242,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2244,Governor,,REP,JOHN H. COX,562,310,1,251
Orange,2244,Governor,,DEM,GAVIN NEWSOM,462,260,3,199
Orange,2303,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2303,Governor,,DEM,GAVIN NEWSOM,2,2,0,0
Orange,2304,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2304,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2306,Governor,,REP,JOHN H. COX,20,20,0,0
Orange,2306,Governor,,DEM,GAVIN NEWSOM,38,33,1,4
Orange,2307,Governor,,REP,JOHN H. COX,58,54,1,3
Orange,2307,Governor,,DEM,GAVIN NEWSOM,92,89,0,3
Orange,2315,Governor,,REP,JOHN H. COX,215,129,7,79
Orange,2315,Governor,,DEM,GAVIN NEWSOM,300,171,6,123
Orange,2319,Governor,,REP,JOHN H. COX,235,147,2,86
Orange,2319,Governor,,DEM,GAVIN NEWSOM,358,202,5,151
Orange,2322,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2322,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2331,Governor,,REP,JOHN H. COX,67,65,0,2
Orange,2331,Governor,,DEM,GAVIN NEWSOM,72,71,1,0
Orange,2337,Governor,,REP,JOHN H. COX,208,131,2,75
Orange,2337,Governor,,DEM,GAVIN NEWSOM,296,174,5,117
Orange,2338,Governor,,REP,JOHN H. COX,131,77,1,53
Orange,2338,Governor,,DEM,GAVIN NEWSOM,195,103,1,91
Orange,2341,Governor,,REP,JOHN H. COX,215,129,0,86
Orange,2341,Governor,,DEM,GAVIN NEWSOM,238,134,2,102
Orange,2345,Governor,,REP,JOHN H. COX,266,140,4,122
Orange,2345,Governor,,DEM,GAVIN NEWSOM,156,93,2,61
Orange,2347,Governor,,REP,JOHN H. COX,183,120,1,62
Orange,2347,Governor,,DEM,GAVIN NEWSOM,234,151,3,80
Orange,2352,Governor,,REP,JOHN H. COX,303,170,1,132
Orange,2352,Governor,,DEM,GAVIN NEWSOM,417,232,9,176
Orange,2355,Governor,,REP,JOHN H. COX,55,52,2,1
Orange,2355,Governor,,DEM,GAVIN NEWSOM,108,106,1,1
Orange,2356,Governor,,REP,JOHN H. COX,232,151,5,76
Orange,2356,Governor,,DEM,GAVIN NEWSOM,374,238,8,128
Orange,2357,Governor,,REP,JOHN H. COX,257,186,0,71
Orange,2357,Governor,,DEM,GAVIN NEWSOM,291,172,3,116
Orange,2361,Governor,,REP,JOHN H. COX,75,53,0,22
Orange,2361,Governor,,DEM,GAVIN NEWSOM,92,59,1,32
Orange,2368,Governor,,REP,JOHN H. COX,152,102,2,48
Orange,2368,Governor,,DEM,GAVIN NEWSOM,278,151,4,123
Orange,2370,Governor,,REP,JOHN H. COX,41,40,0,1
Orange,2370,Governor,,DEM,GAVIN NEWSOM,75,69,1,5
Orange,2371,Governor,,REP,JOHN H. COX,143,92,5,46
Orange,2371,Governor,,DEM,GAVIN NEWSOM,359,207,10,142
Orange,2377,Governor,,REP,JOHN H. COX,57,54,1,2
Orange,2377,Governor,,DEM,GAVIN NEWSOM,77,69,2,6
Orange,2385,Governor,,REP,JOHN H. COX,137,93,1,43
Orange,2385,Governor,,DEM,GAVIN NEWSOM,247,134,4,109
Orange,2387,Governor,,REP,JOHN H. COX,170,111,3,56
Orange,2387,Governor,,DEM,GAVIN NEWSOM,249,147,12,90
Orange,2389,Governor,,REP,JOHN H. COX,258,139,1,118
Orange,2389,Governor,,DEM,GAVIN NEWSOM,465,254,13,198
Orange,2391,Governor,,REP,JOHN H. COX,448,289,7,152
Orange,2391,Governor,,DEM,GAVIN NEWSOM,571,308,25,238
Orange,2392,Governor,,REP,JOHN H. COX,465,291,8,166
Orange,2392,Governor,,DEM,GAVIN NEWSOM,643,352,12,279
Orange,2398,Governor,,REP,JOHN H. COX,422,243,11,168
Orange,2398,Governor,,DEM,GAVIN NEWSOM,540,294,14,232
Orange,2401,Governor,,REP,JOHN H. COX,255,182,0,73
Orange,2401,Governor,,DEM,GAVIN NEWSOM,315,203,3,109
Orange,2402,Governor,,REP,JOHN H. COX,186,116,4,66
Orange,2402,Governor,,DEM,GAVIN NEWSOM,207,115,1,91
Orange,2405,Governor,,REP,JOHN H. COX,231,163,7,61
Orange,2405,Governor,,DEM,GAVIN NEWSOM,500,278,10,212
Orange,2408,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2408,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2409,Governor,,REP,JOHN H. COX,7,7,0,0
Orange,2409,Governor,,DEM,GAVIN NEWSOM,25,23,0,2
Orange,2429,Governor,,REP,JOHN H. COX,256,159,6,91
Orange,2429,Governor,,DEM,GAVIN NEWSOM,745,380,14,351
Orange,2432,Governor,,REP,JOHN H. COX,484,312,21,151
Orange,2432,Governor,,DEM,GAVIN NEWSOM,767,456,14,297
Orange,2434,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2434,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2437,Governor,,REP,JOHN H. COX,344,200,4,140
Orange,2437,Governor,,DEM,GAVIN NEWSOM,448,284,11,153
Orange,2440,Governor,,REP,JOHN H. COX,276,177,1,98
Orange,2440,Governor,,DEM,GAVIN NEWSOM,392,214,11,167
Orange,2441,Governor,,REP,JOHN H. COX,37,36,1,0
Orange,2441,Governor,,DEM,GAVIN NEWSOM,77,71,5,1
Orange,2443,Governor,,REP,JOHN H. COX,471,311,3,157
Orange,2443,Governor,,DEM,GAVIN NEWSOM,548,315,11,222
Orange,2448,Governor,,REP,JOHN H. COX,307,186,13,108
Orange,2448,Governor,,DEM,GAVIN NEWSOM,719,428,11,280
Orange,2450,Governor,,REP,JOHN H. COX,218,154,0,64
Orange,2450,Governor,,DEM,GAVIN NEWSOM,468,322,6,140
Orange,2453,Governor,,REP,JOHN H. COX,256,139,4,113
Orange,2453,Governor,,DEM,GAVIN NEWSOM,182,89,3,90
Orange,2457,Governor,,REP,JOHN H. COX,340,229,5,106
Orange,2457,Governor,,DEM,GAVIN NEWSOM,624,355,22,247
Orange,2459,Governor,,REP,JOHN H. COX,9,9,0,0
Orange,2459,Governor,,DEM,GAVIN NEWSOM,6,6,0,0
Orange,2460,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2460,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2701,Governor,,REP,JOHN H. COX,481,330,5,146
Orange,2701,Governor,,DEM,GAVIN NEWSOM,564,333,14,217
Orange,2702,Governor,,REP,JOHN H. COX,314,183,4,127
Orange,2702,Governor,,DEM,GAVIN NEWSOM,367,190,7,170
Orange,2703,Governor,,REP,JOHN H. COX,891,594,4,293
Orange,2703,Governor,,DEM,GAVIN NEWSOM,476,313,7,156
Orange,2704,Governor,,REP,JOHN H. COX,1094,673,14,407
Orange,2704,Governor,,DEM,GAVIN NEWSOM,801,506,12,283
Orange,2705,Governor,,REP,JOHN H. COX,337,218,9,110
Orange,2705,Governor,,DEM,GAVIN NEWSOM,994,575,18,401
Orange,2707,Governor,,REP,JOHN H. COX,450,269,6,175
Orange,2707,Governor,,DEM,GAVIN NEWSOM,874,560,11,303
Orange,2708,Governor,,REP,JOHN H. COX,358,199,1,158
Orange,2708,Governor,,DEM,GAVIN NEWSOM,404,228,4,172
Orange,2709,Governor,,REP,JOHN H. COX,540,311,7,222
Orange,2709,Governor,,DEM,GAVIN NEWSOM,859,512,20,327
Orange,2710,Governor,,REP,JOHN H. COX,843,547,15,281
Orange,2710,Governor,,DEM,GAVIN NEWSOM,767,434,17,316
Orange,5302,Governor,,REP,JOHN H. COX,384,228,5,151
Orange,5302,Governor,,DEM,GAVIN NEWSOM,241,135,5,101
Orange,5303,Governor,,REP,JOHN H. COX,517,324,2,191
Orange,5303,Governor,,DEM,GAVIN NEWSOM,493,263,11,219
Orange,5307,Governor,,REP,JOHN H. COX,652,410,6,236
Orange,5307,Governor,,DEM,GAVIN NEWSOM,509,299,11,199
Orange,5308,Governor,,REP,JOHN H. COX,714,440,6,268
Orange,5308,Governor,,DEM,GAVIN NEWSOM,650,410,8,232
Orange,5311,Governor,,REP,JOHN H. COX,860,549,3,308
Orange,5311,Governor,,DEM,GAVIN NEWSOM,694,416,2,276
Orange,5319,Governor,,REP,JOHN H. COX,296,176,2,118
Orange,5319,Governor,,DEM,GAVIN NEWSOM,322,190,6,126
Orange,5333,Governor,,REP,JOHN H. COX,48,48,0,0
Orange,5333,Governor,,DEM,GAVIN NEWSOM,26,24,0,2
Orange,5334,Governor,,REP,JOHN H. COX,174,123,0,51
Orange,5334,Governor,,DEM,GAVIN NEWSOM,124,70,0,54
Orange,5335,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,5335,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,5336,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,5336,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,5337,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,5337,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,5339,Governor,,REP,JOHN H. COX,684,469,9,206
Orange,5339,Governor,,DEM,GAVIN NEWSOM,608,425,6,177
Orange,5340,Governor,,REP,JOHN H. COX,752,433,9,310
Orange,5340,Governor,,DEM,GAVIN NEWSOM,533,351,6,176
Orange,5379,Governor,,REP,JOHN H. COX,244,163,4,77
Orange,5379,Governor,,DEM,GAVIN NEWSOM,272,175,2,95
Orange,5381,Governor,,REP,JOHN H. COX,1021,668,8,345
Orange,5381,Governor,,DEM,GAVIN NEWSOM,758,488,8,262
Orange,5384,Governor,,REP,JOHN H. COX,353,192,0,161
Orange,5384,Governor,,DEM,GAVIN NEWSOM,203,104,8,91
Orange,5388,Governor,,REP,JOHN H. COX,241,151,4,86
Orange,5388,Governor,,DEM,GAVIN NEWSOM,341,192,10,139
Orange,5389,Governor,,REP,JOHN H. COX,180,100,0,80
Orange,5389,Governor,,DEM,GAVIN NEWSOM,82,29,0,53
Orange,5391,Governor,,REP,JOHN H. COX,1,0,0,1
Orange,5391,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,5392,Governor,,REP,JOHN H. COX,75,74,0,1
Orange,5392,Governor,,DEM,GAVIN NEWSOM,31,31,0,0
Orange,5396,Governor,,REP,JOHN H. COX,57,54,2,1
Orange,5396,Governor,,DEM,GAVIN NEWSOM,51,50,0,1
Orange,5397,Governor,,REP,JOHN H. COX,475,210,3,262
Orange,5397,Governor,,DEM,GAVIN NEWSOM,373,203,3,167
Orange,5398,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,5398,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,5701,Governor,,REP,JOHN H. COX,1061,626,15,420
Orange,5701,Governor,,DEM,GAVIN NEWSOM,865,524,15,326
Orange,5702,Governor,,REP,JOHN H. COX,1185,738,9,438
Orange,5702,Governor,,DEM,GAVIN NEWSOM,710,443,10,257
Orange,6200,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,6200,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,6204,Governor,,REP,JOHN H. COX,4,4,0,0
Orange,6204,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,6205,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,6205,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,7092,Governor,,REP,JOHN H. COX,49,40,0,9
Orange,7092,Governor,,DEM,GAVIN NEWSOM,120,82,1,37
Orange,7093,Governor,,REP,JOHN H. COX,8,6,0,2
Orange,7093,Governor,,DEM,GAVIN NEWSOM,55,51,2,2
Orange,7094,Governor,,REP,JOHN H. COX,89,43,2,44
Orange,7094,Governor,,DEM,GAVIN NEWSOM,149,76,3,70
Orange,7095,Governor,,REP,JOHN H. COX,40,36,0,4
Orange,7095,Governor,,DEM,GAVIN NEWSOM,49,49,0,0
Orange,7098,Governor,,REP,JOHN H. COX,80,56,2,22
Orange,7098,Governor,,DEM,GAVIN NEWSOM,137,94,4,39
Orange,7101,Governor,,REP,JOHN H. COX,193,123,1,69
Orange,7101,Governor,,DEM,GAVIN NEWSOM,463,244,5,214
Orange,7104,Governor,,REP,JOHN H. COX,94,60,0,34
Orange,7104,Governor,,DEM,GAVIN NEWSOM,257,130,0,127
Orange,7106,Governor,,REP,JOHN H. COX,210,140,3,67
Orange,7106,Governor,,DEM,GAVIN NEWSOM,249,160,2,87
Orange,7108,Governor,,REP,JOHN H. COX,334,202,2,130
Orange,7108,Governor,,DEM,GAVIN NEWSOM,556,334,9,213
Orange,7109,Governor,,REP,JOHN H. COX,204,107,3,94
Orange,7109,Governor,,DEM,GAVIN NEWSOM,322,179,3,140
Orange,7110,Governor,,REP,JOHN H. COX,284,204,4,76
Orange,7110,Governor,,DEM,GAVIN NEWSOM,351,219,8,124
Orange,7112,Governor,,REP,JOHN H. COX,360,206,4,150
Orange,7112,Governor,,DEM,GAVIN NEWSOM,806,425,12,369
Orange,7121,Governor,,REP,JOHN H. COX,90,57,1,32
Orange,7121,Governor,,DEM,GAVIN NEWSOM,88,54,1,33
Orange,7122,Governor,,REP,JOHN H. COX,459,284,2,173
Orange,7122,Governor,,DEM,GAVIN NEWSOM,462,252,5,205
Orange,7123,Governor,,REP,JOHN H. COX,96,65,0,31
Orange,7123,Governor,,DEM,GAVIN NEWSOM,181,104,7,70
Orange,7124,Governor,,REP,JOHN H. COX,63,46,1,16
Orange,7124,Governor,,DEM,GAVIN NEWSOM,92,62,0,30
Orange,7125,Governor,,REP,JOHN H. COX,15,14,1,0
Orange,7125,Governor,,DEM,GAVIN NEWSOM,26,22,3,1
Orange,7126,Governor,,REP,JOHN H. COX,456,309,7,140
Orange,7126,Governor,,DEM,GAVIN NEWSOM,485,294,5,186
Orange,7127,Governor,,REP,JOHN H. COX,77,69,2,6
Orange,7127,Governor,,DEM,GAVIN NEWSOM,57,55,0,2
Orange,7129,Governor,,REP,JOHN H. COX,72,69,2,1
Orange,7129,Governor,,DEM,GAVIN NEWSOM,87,85,0,2
Orange,7130,Governor,,REP,JOHN H. COX,4,4,0,0
Orange,7130,Governor,,DEM,GAVIN NEWSOM,14,14,0,0
Orange,7131,Governor,,REP,JOHN H. COX,102,49,1,52
Orange,7131,Governor,,DEM,GAVIN NEWSOM,99,58,5,36
Orange,7133,Governor,,REP,JOHN H. COX,51,49,1,1
Orange,7133,Governor,,DEM,GAVIN NEWSOM,70,65,2,3
Orange,7134,Governor,,REP,JOHN H. COX,86,56,0,30
Orange,7134,Governor,,DEM,GAVIN NEWSOM,193,108,1,84
Orange,7135,Governor,,REP,JOHN H. COX,194,121,3,70
Orange,7135,Governor,,DEM,GAVIN NEWSOM,150,92,1,57
Orange,7136,Governor,,REP,JOHN H. COX,4,4,0,0
Orange,7136,Governor,,DEM,GAVIN NEWSOM,8,8,0,0
Orange,7137,Governor,,REP,JOHN H. COX,69,69,0,0
Orange,7137,Governor,,DEM,GAVIN NEWSOM,70,68,2,0
Orange,7138,Governor,,REP,JOHN H. COX,322,195,0,127
Orange,7138,Governor,,DEM,GAVIN NEWSOM,272,173,4,95
Orange,7139,Governor,,REP,JOHN H. COX,13,13,0,0
Orange,7139,Governor,,DEM,GAVIN NEWSOM,19,19,0,0
Orange,7140,Governor,,REP,JOHN H. COX,231,155,0,76
Orange,7140,Governor,,DEM,GAVIN NEWSOM,206,122,2,82
Orange,7142,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,7142,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,7145,Governor,,REP,JOHN H. COX,183,115,1,67
Orange,7145,Governor,,DEM,GAVIN NEWSOM,201,126,6,69
Orange,7146,Governor,,REP,JOHN H. COX,111,64,2,45
Orange,7146,Governor,,DEM,GAVIN NEWSOM,90,50,1,39
Orange,7147,Governor,,REP,JOHN H. COX,103,66,1,36
Orange,7147,Governor,,DEM,GAVIN NEWSOM,134,83,0,51
Orange,7148,Governor,,REP,JOHN H. COX,12,11,1,0
Orange,7148,Governor,,DEM,GAVIN NEWSOM,14,13,0,1
Orange,7149,Governor,,REP,JOHN H. COX,270,161,5,104
Orange,7149,Governor,,DEM,GAVIN NEWSOM,216,154,2,60
Orange,7151,Governor,,REP,JOHN H. COX,214,140,1,73
Orange,7151,Governor,,DEM,GAVIN NEWSOM,227,128,4,95
Orange,7152,Governor,,REP,JOHN H. COX,362,190,8,164
Orange,7152,Governor,,DEM,GAVIN NEWSOM,336,193,1,142
Orange,7158,Governor,,REP,JOHN H. COX,148,79,0,69
Orange,7158,Governor,,DEM,GAVIN NEWSOM,143,85,1,57
Orange,7159,Governor,,REP,JOHN H. COX,240,156,1,83
Orange,7159,Governor,,DEM,GAVIN NEWSOM,183,111,1,71
Orange,7161,Governor,,REP,JOHN H. COX,138,78,0,60
Orange,7161,Governor,,DEM,GAVIN NEWSOM,98,71,3,24
Orange,7166,Governor,,REP,JOHN H. COX,646,369,4,273
Orange,7166,Governor,,DEM,GAVIN NEWSOM,806,451,10,345
Orange,7167,Governor,,REP,JOHN H. COX,630,430,6,194
Orange,7167,Governor,,DEM,GAVIN NEWSOM,669,452,6,211
Orange,7170,Governor,,REP,JOHN H. COX,201,113,2,86
Orange,7170,Governor,,DEM,GAVIN NEWSOM,202,95,5,102
Orange,7172,Governor,,REP,JOHN H. COX,31,28,0,3
Orange,7172,Governor,,DEM,GAVIN NEWSOM,81,74,1,6
Orange,7174,Governor,,REP,JOHN H. COX,235,159,5,71
Orange,7174,Governor,,DEM,GAVIN NEWSOM,252,162,4,86
Orange,7176,Governor,,REP,JOHN H. COX,453,246,1,206
Orange,7176,Governor,,DEM,GAVIN NEWSOM,435,248,6,181
Orange,7177,Governor,,REP,JOHN H. COX,1,1,0,0
