precinct,office,district,party,candidate,votes,provisional,absentee,polling,mail,county
380 South Fork,Governor,,,JOHN H. COX,73,0,0,0,73,Modoc
400 Hot Spring,Governor,,,JOHN H. COX,228,4,166,58,0,Modoc
410 Cal Pines,Governor,,,JOHN H. COX,148,6,96,46,0,Modoc
420 Canby,Governor,,,JOHN H. COX,100,1,0,0,99,Modoc
440 Adin,Governor,,,JOHN H. COX,144,1,0,0,143,Modoc
460 Lookout,Governor,,,JOHN H. COX,140,1,0,0,139,Modoc
480 Little Hot Spring (Day),Governor,,,JOHN H. COX,41,0,0,0,41,Modoc
500 Newell,Governor,,,JOHN H. COX,202,3,107,92,0,Modoc
MODOC CA,Governor,,,JOHN H. COX,2628,55,1072,582,919,Modoc
020 Fort Bidwell,Lieutenant Governor,,,ED HERNANDEZ,14,0,0,0,14,Modoc
040 Lake City,Lieutenant Governor,,,ED HERNANDEZ,32,0,0,0,32,Modoc
060 Cedarville,Lieutenant Governor,,,ED HERNANDEZ,83,2,47,34,0,Modoc
080 Eagleville,Lieutenant Governor,,,ED HERNANDEZ,19,0,0,0,19,Modoc
100 Dry Creek,Lieutenant Governor,,,ED HERNANDEZ,22,0,0,0,22,Modoc
140 Stateline-Willow Ranch,Lieutenant Governor,,,ED HERNANDEZ,13,1,0,0,12,Modoc
160 Davis Creek,Lieutenant Governor,,,ED HERNANDEZ,16,0,0,0,16,Modoc
180 North Fork,Lieutenant Governor,,,ED HERNANDEZ,122,5,75,42,0,Modoc
200 Alturas B,Lieutenant Governor,,,ED HERNANDEZ,28,0,20,8,0,Modoc
260 Alturas C,Lieutenant Governor,,,ED HERNANDEZ,107,2,62,43,0,Modoc
280 Alturas A,Lieutenant Governor,,,ED HERNANDEZ,67,0,42,25,0,Modoc
320 Alturas D,Lieutenant Governor,,,ED HERNANDEZ,85,7,48,30,0,Modoc
360 Parker Creek,Lieutenant Governor,,,ED HERNANDEZ,29,0,0,0,29,Modoc
380 South Fork,Lieutenant Governor,,,ED HERNANDEZ,26,0,0,0,26,Modoc
400 Hot Spring,Lieutenant Governor,,,ED HERNANDEZ,73,1,55,17,0,Modoc
410 Cal Pines,Lieutenant Governor,,,ED HERNANDEZ,82,7,49,26,0,Modoc
420 Canby,Lieutenant Governor,,,ED HERNANDEZ,42,1,0,0,41,Modoc
440 Adin,Lieutenant Governor,,,ED HERNANDEZ,57,1,0,0,56,Modoc
460 Lookout,Lieutenant Governor,,,ED HERNANDEZ,44,1,0,0,43,Modoc
480 Little Hot Spring (Day),Lieutenant Governor,,,ED HERNANDEZ,18,0,0,0,18,Modoc
500 Newell,Lieutenant Governor,,,ED HERNANDEZ,87,3,47,37,0,Modoc
MODOC CA,Lieutenant Governor,,,ED HERNANDEZ,1066,31,445,262,328,Modoc
020 Fort Bidwell,Lieutenant Governor,,,ELENI KOUNALAKIS,30,1,0,0,29,Modoc
040 Lake City,Lieutenant Governor,,,ELENI KOUNALAKIS,30,0,0,0,30,Modoc
060 Cedarville,Lieutenant Governor,,,ELENI KOUNALAKIS,115,3,61,51,0,Modoc
080 Eagleville,Lieutenant Governor,,,ELENI KOUNALAKIS,23,1,0,0,22,Modoc
100 Dry Creek,Lieutenant Governor,,,ELENI KOUNALAKIS,50,2,0,0,48,Modoc
140 Stateline-Willow Ranch,Lieutenant Governor,,,ELENI KOUNALAKIS,22,0,0,0,22,Modoc
160 Davis Creek,Lieutenant Governor,,,ELENI KOUNALAKIS,18,0,0,0,18,Modoc
180 North Fork,Lieutenant Governor,,,ELENI KOUNALAKIS,117,3,91,23,0,Modoc
200 Alturas B,Lieutenant Governor,,,ELENI KOUNALAKIS,48,3,31,14,0,Modoc
260 Alturas C,Lieutenant Governor,,,ELENI KOUNALAKIS,119,4,74,41,0,Modoc
280 Alturas A,Lieutenant Governor,,,ELENI KOUNALAKIS,63,5,40,18,0,Modoc
320 Alturas D,Lieutenant Governor,,,ELENI KOUNALAKIS,95,3,53,39,0,Modoc
360 Parker Creek,Lieutenant Governor,,,ELENI KOUNALAKIS,24,0,0,0,24,Modoc
380 South Fork,Lieutenant Governor,,,ELENI KOUNALAKIS,20,0,0,0,20,Modoc
400 Hot Spring,Lieutenant Governor,,,ELENI KOUNALAKIS,75,3,53,19,0,Modoc
410 Cal Pines,Lieutenant Governor,,,ELENI KOUNALAKIS,77,2,51,24,0,Modoc
420 Canby,Lieutenant Governor,,,ELENI KOUNALAKIS,43,1,0,0,42,Modoc
440 Adin,Lieutenant Governor,,,ELENI KOUNALAKIS,52,0,0,0,52,Modoc
460 Lookout,Lieutenant Governor,,,ELENI KOUNALAKIS,48,0,0,0,48,Modoc
480 Little Hot Spring (Day),Lieutenant Governor,,,ELENI KOUNALAKIS,21,0,0,0,21,Modoc
500 Newell,Lieutenant Governor,,,ELENI KOUNALAKIS,77,1,44,32,0,Modoc
MODOC CA,Lieutenant Governor,,,ELENI KOUNALAKIS,1167,32,498,261,376,Modoc
020 Fort Bidwell,Secretary of State,,,ALEX PADILLA,30,1,0,0,29,Modoc
040 Lake City,Secretary of State,,,ALEX PADILLA,31,0,0,0,31,Modoc
060 Cedarville,Secretary of State,,,ALEX PADILLA,110,3,66,41,0,Modoc
080 Eagleville,Secretary of State,,,ALEX PADILLA,15,1,0,0,14,Modoc
100 Dry Creek,Secretary of State,,,ALEX PADILLA,34,0,0,0,34,Modoc
140 Stateline-Willow Ranch,Secretary of State,,,ALEX PADILLA,17,1,0,0,16,Modoc
160 Davis Creek,Secretary of State,,,ALEX PADILLA,7,0,0,0,7,Modoc
180 North Fork,Secretary of State,,,ALEX PADILLA,79,3,61,15,0,Modoc
200 Alturas B,Secretary of State,,,ALEX PADILLA,34,2,22,10,0,Modoc
260 Alturas C,Secretary of State,,,ALEX PADILLA,116,4,70,42,0,Modoc
280 Alturas A,Secretary of State,,,ALEX PADILLA,54,2,39,13,0,Modoc
320 Alturas D,Secretary of State,,,ALEX PADILLA,94,5,53,36,0,Modoc
360 Parker Creek,Secretary of State,,,ALEX PADILLA,21,0,0,0,21,Modoc
380 South Fork,Secretary of State,,,ALEX PADILLA,17,0,0,0,17,Modoc
400 Hot Spring,Secretary of State,,,ALEX PADILLA,40,2,29,9,0,Modoc
410 Cal Pines,Secretary of State,,,ALEX PADILLA,68,6,43,19,0,Modoc
420 Canby,Secretary of State,,,ALEX PADILLA,46,1,0,0,45,Modoc
440 Adin,Secretary of State,,,ALEX PADILLA,34,0,0,0,34,Modoc
460 Lookout,Secretary of State,,,ALEX PADILLA,33,0,0,0,33,Modoc
480 Little Hot Spring (Day),Secretary of State,,,ALEX PADILLA,18,0,0,0,18,Modoc
500 Newell,Secretary of State,,,ALEX PADILLA,50,2,30,18,0,Modoc
MODOC CA,Secretary of State,,,ALEX PADILLA,948,33,413,203,299,Modoc
020 Fort Bidwell,Secretary of State,,,MARK P MEUSER,39,0,0,0,39,Modoc
040 Lake City,Secretary of State,,,MARK P MEUSER,64,0,0,0,64,Modoc
060 Cedarville,Secretary of State,,,MARK P MEUSER,196,2,115,79,0,Modoc
080 Eagleville,Secretary of State,,,MARK P MEUSER,49,0,0,0,49,Modoc
100 Dry Creek,Secretary of State,,,MARK P MEUSER,79,4,0,0,75,Modoc
140 Stateline-Willow Ranch,Secretary of State,,,MARK P MEUSER,30,0,0,0,30,Modoc
160 Davis Creek,Secretary of State,,,MARK P MEUSER,50,0,0,0,50,Modoc
180 North Fork,Secretary of State,,,MARK P MEUSER,282,10,183,89,0,Modoc
200 Alturas B,Secretary of State,,,MARK P MEUSER,87,2,64,21,0,Modoc
260 Alturas C,Secretary of State,,,MARK P MEUSER,206,6,121,79,0,Modoc
280 Alturas A,Secretary of State,,,MARK P MEUSER,131,5,78,48,0,Modoc
320 Alturas D,Secretary of State,,,MARK P MEUSER,138,5,87,46,0,Modoc
360 Parker Creek,Secretary of State,,,MARK P MEUSER,94,2,0,0,92,Modoc
380 South Fork,Secretary of State,,,MARK P MEUSER,66,0,0,0,66,Modoc
400 Hot Spring,Secretary of State,,,MARK P MEUSER,216,4,155,57,0,Modoc
410 Cal Pines,Secretary of State,,,MARK P MEUSER,142,6,93,43,0,Modoc
420 Canby,Secretary of State,,,MARK P MEUSER,94,1,0,0,93,Modoc
440 Adin,Secretary of State,,,MARK P MEUSER,136,1,0,0,135,Modoc
460 Lookout,Secretary of State,,,MARK P MEUSER,128,1,0,0,127,Modoc
480 Little Hot Spring (Day),Secretary of State,,,MARK P MEUSER,38,0,0,0,38,Modoc
500 Newell,Secretary of State,,,MARK P MEUSER,192,3,104,85,0,Modoc
MODOC CA,Secretary of State,,,MARK P MEUSER,2457,52,1000,547,858,Modoc
020 Fort Bidwell,Controller,,,BETTY T. YEE,31,1,0,0,30,Modoc
040 Lake City,Controller,,,BETTY T. YEE,30,0,0,0,30,Modoc
060 Cedarville,Controller,,,BETTY T. YEE,118,2,71,45,0,Modoc
080 Eagleville,Controller,,,BETTY T. YEE,19,1,0,0,18,Modoc
100 Dry Creek,Controller,,,BETTY T. YEE,36,0,0,0,36,Modoc
140 Stateline-Willow Ranch,Controller,,,BETTY T. YEE,15,1,0,0,14,Modoc
160 Davis Creek,Controller,,,BETTY T. YEE,9,0,0,0,9,Modoc
180 North Fork,Controller,,,BETTY T. YEE,91,3,68,20,0,Modoc
200 Alturas B,Controller,,,BETTY T. YEE,45,2,30,13,0,Modoc
260 Alturas C,Controller,,,BETTY T. YEE,130,5,81,44,0,Modoc
280 Alturas A,Controller,,,BETTY T. YEE,62,2,44,16,0,Modoc
320 Alturas D,Controller,,,BETTY T. YEE,101,5,57,39,0,Modoc
360 Parker Creek,Controller,,,BETTY T. YEE,27,0,0,0,27,Modoc
380 South Fork,Controller,,,BETTY T. YEE,16,0,0,0,16,Modoc
400 Hot Spring,Controller,,,BETTY T. YEE,45,1,34,10,0,Modoc
410 Cal Pines,Controller,,,BETTY T. YEE,74,6,47,21,0,Modoc
420 Canby,Controller,,,BETTY T. YEE,50,1,0,0,49,Modoc
440 Adin,Controller,,,BETTY T. YEE,37,0,0,0,37,Modoc
460 Lookout,Controller,,,BETTY T. YEE,30,0,0,0,30,Modoc
480 Little Hot Spring (Day),Controller,,,BETTY T. YEE,19,0,0,0,19,Modoc
500 Newell,Controller,,,BETTY T. YEE,55,2,31,22,0,Modoc
MODOC CA,Controller,,,BETTY T. YEE,1040,32,463,230,315,Modoc
020 Fort Bidwell,Controller,,,KONSTANTINOSRODITIS,37,0,0,0,37,Modoc
040 Lake City,Controller,,,KONSTANTINOSRODITIS,64,0,0,0,64,Modoc
060 Cedarville,Controller,,,KONSTANTINOSRODITIS,187,3,108,76,0,Modoc
080 Eagleville,Controller,,,KONSTANTINOSRODITIS,45,0,0,0,45,Modoc
100 Dry Creek,Controller,,,KONSTANTINOSRODITIS,76,4,0,0,72,Modoc
140 Stateline-Willow Ranch,Controller,,,KONSTANTINOSRODITIS,32,0,0,0,32,Modoc
160 Davis Creek,Controller,,,KONSTANTINOSRODITIS,45,0,0,0,45,Modoc
180 North Fork,Controller,,,KONSTANTINOSRODITIS,267,10,175,82,0,Modoc
200 Alturas B,Controller,,,KONSTANTINOSRODITIS,74,2,54,18,0,Modoc
260 Alturas C,Controller,,,KONSTANTINOSRODITIS,196,5,113,78,0,Modoc
280 Alturas A,Controller,,,KONSTANTINOSRODITIS,123,5,74,44,0,Modoc
320 Alturas D,Controller,,,KONSTANTINOSRODITIS,134,5,85,44,0,Modoc
360 Parker Creek,Controller,,,KONSTANTINOSRODITIS,88,2,0,0,86,Modoc
380 South Fork,Controller,,,KONSTANTINOSRODITIS,68,0,0,0,68,Modoc
400 Hot Spring,Controller,,,KONSTANTINOSRODITIS,207,5,147,55,0,Modoc
410 Cal Pines,Controller,,,KONSTANTINOSRODITIS,133,6,87,40,0,Modoc
420 Canby,Controller,,,KONSTANTINOSRODITIS,87,1,0,0,86,Modoc
440 Adin,Controller,,,KONSTANTINOSRODITIS,133,1,0,0,132,Modoc
460 Lookout,Controller,,,KONSTANTINOSRODITIS,130,1,0,0,129,Modoc
480 Little Hot Spring (Day),Controller,,,KONSTANTINOSRODITIS,37,0,0,0,37,Modoc
500 Newell,Controller,,,KONSTANTINOSRODITIS,186,3,101,82,0,Modoc
MODOC CA,Controller,,,KONSTANTINOSRODITIS,2349,53,944,519,833,Modoc
020 Fort Bidwell,Treasurer,,,FIONA MA,29,1,0,0,28,Modoc
040 Lake City,Treasurer,,,FIONA MA,29,0,0,0,29,Modoc
060 Cedarville,Treasurer,,,FIONA MA,112,1,66,45,0,Modoc
080 Eagleville,Treasurer,,,FIONA MA,16,1,0,0,15,Modoc
100 Dry Creek,Treasurer,,,FIONA MA,30,0,0,0,30,Modoc
140 Stateline-Willow Ranch,Treasurer,,,FIONA MA,17,1,0,0,16,Modoc
160 Davis Creek,Treasurer,,,FIONA MA,7,0,0,0,7,Modoc
180 North Fork,Treasurer,,,FIONA MA,74,3,56,15,0,Modoc
200 Alturas B,Treasurer,,,FIONA MA,38,1,24,13,0,Modoc
260 Alturas C,Treasurer,,,FIONA MA,106,5,67,34,0,Modoc
280 Alturas A,Treasurer,,,FIONA MA,49,2,34,13,0,Modoc
320 Alturas D,Treasurer,,,FIONA MA,91,4,52,35,0,Modoc
360 Parker Creek,Treasurer,,,FIONA MA,20,0,0,0,20,Modoc
380 South Fork,Treasurer,,,FIONA MA,14,0,0,0,14,Modoc
400 Hot Spring,Treasurer,,,FIONA MA,42,2,28,12,0,Modoc
410 Cal Pines,Treasurer,,,FIONA MA,73,7,46,20,0,Modoc
420 Canby,Treasurer,,,FIONA MA,46,0,0,0,46,Modoc
440 Adin,Treasurer,,,FIONA MA,33,0,0,0,33,Modoc
460 Lookout,Treasurer,,,FIONA MA,26,0,0,0,26,Modoc
480 Little Hot Spring (Day),Treasurer,,,FIONA MA,21,0,0,0,21,Modoc
500 Newell,Treasurer,,,FIONA MA,49,1,30,18,0,Modoc
MODOC CA,Treasurer,,,FIONA MA,922,29,403,205,285,Modoc
020 Fort Bidwell,Treasurer,,,GREG CONLON,40,0,0,0,40,Modoc
040 Lake City,Treasurer,,,GREG CONLON,66,0,0,0,66,Modoc
060 Cedarville,Treasurer,,,GREG CONLON,194,4,114,76,0,Modoc
080 Eagleville,Treasurer,,,GREG CONLON,45,0,0,0,45,Modoc
100 Dry Creek,Treasurer,,,GREG CONLON,82,4,0,0,78,Modoc
140 Stateline-Willow Ranch,Treasurer,,,GREG CONLON,30,0,0,0,30,Modoc
160 Davis Creek,Treasurer,,,GREG CONLON,48,0,0,0,48,Modoc
180 North Fork,Treasurer,,,GREG CONLON,286,10,188,88,0,Modoc
200 Alturas B,Treasurer,,,GREG CONLON,80,3,59,18,0,Modoc
260 Alturas C,Treasurer,,,GREG CONLON,214,5,124,85,0,Modoc
280 Alturas A,Treasurer,,,GREG CONLON,133,5,81,47,0,Modoc
320 Alturas D,Treasurer,,,GREG CONLON,144,6,90,48,0,Modoc
360 Parker Creek,Treasurer,,,GREG CONLON,96,2,0,0,94,Modoc
380 South Fork,Treasurer,,,GREG CONLON,69,0,0,0,69,Modoc
400 Hot Spring,Treasurer,,,GREG CONLON,214,4,156,54,0,Modoc
410 Cal Pines,Treasurer,,,GREG CONLON,137,6,89,42,0,Modoc
420 Canby,Treasurer,,,GREG CONLON,92,2,0,0,90,Modoc
440 Adin,Treasurer,,,GREG CONLON,137,1,0,0,136,Modoc
460 Lookout,Treasurer,,,GREG CONLON,134,1,0,0,133,Modoc
480 Little Hot Spring (Day),Treasurer,,,GREG CONLON,35,0,0,0,35,Modoc
500 Newell,Treasurer,,,GREG CONLON,190,3,101,86,0,Modoc
MODOC CA,Treasurer,,,GREG CONLON,2466,56,1002,544,864,Modoc
020 Fort Bidwell,Attorney General,,,STEVEN C BAILEY,38,0,0,0,38,Modoc
040 Lake City,Attorney General,,,STEVEN C BAILEY,66,0,0,0,66,Modoc
060 Cedarville,Attorney General,,,STEVEN C BAILEY,196,3,113,80,0,Modoc
080 Eagleville,Attorney General,,,STEVEN C BAILEY,49,0,0,0,49,Modoc
100 Dry Creek,Attorney General,,,STEVEN C BAILEY,85,4,0,0,81,Modoc
140 Stateline-Willow Ranch,Attorney General,,,STEVEN C BAILEY,32,0,0,0,32,Modoc
160 Davis Creek,Attorney General,,,STEVEN C BAILEY,49,0,0,0,49,Modoc
180 North Fork,Attorney General,,,STEVEN C BAILEY,298,12,194,92,0,Modoc
200 Alturas B,Attorney General,,,STEVEN C BAILEY,89,3,65,21,0,Modoc
260 Alturas C,Attorney General,,,STEVEN C BAILEY,216,6,127,83,0,Modoc
280 Alturas A,Attorney General,,,STEVEN C BAILEY,137,6,82,49,0,Modoc
320 Alturas D,Attorney General,,,STEVEN C BAILEY,148,5,95,48,0,Modoc
360 Parker Creek,Attorney General,,,STEVEN C BAILEY,96,2,0,0,94,Modoc
380 South Fork,Attorney General,,,STEVEN C BAILEY,69,0,0,0,69,Modoc
400 Hot Spring,Attorney General,,,STEVEN C BAILEY,218,4,157,57,0,Modoc
410 Cal Pines,Attorney General,,,STEVEN C BAILEY,144,7,94,43,0,Modoc
420 Canby,Attorney General,,,STEVEN C BAILEY,95,1,0,0,94,Modoc
440 Adin,Attorney General,,,STEVEN C BAILEY,139,1,0,0,138,Modoc
460 Lookout,Attorney General,,,STEVEN C BAILEY,139,1,0,0,138,Modoc
480 Little Hot Spring (Day),Attorney General,,,STEVEN C BAILEY,37,0,0,0,37,Modoc
500 Newell,Attorney General,,,STEVEN C BAILEY,193,3,105,85,0,Modoc
MODOC CA,Attorney General,,,STEVEN C BAILEY,2533,58,1032,558,885,Modoc
020 Fort Bidwell,Attorney General,,,XAVIER BECERRA,31,1,0,0,30,Modoc
040 Lake City,Attorney General,,,XAVIER BECERRA,29,0,0,0,29,Modoc
060 Cedarville,Attorney General,,,XAVIER BECERRA,112,2,67,43,0,Modoc
080 Eagleville,Attorney General,,,XAVIER BECERRA,15,1,0,0,14,Modoc
100 Dry Creek,Attorney General,,,XAVIER BECERRA,28,0,0,0,28,Modoc
140 Stateline-Willow Ranch,Attorney General,,,XAVIER BECERRA,15,1,0,0,14,Modoc
160 Davis Creek,Attorney General,,,XAVIER BECERRA,8,0,0,0,8,Modoc
180 North Fork,Attorney General,,,XAVIER BECERRA,65,2,51,12,0,Modoc
200 Alturas B,Attorney General,,,XAVIER BECERRA,33,1,22,10,0,Modoc
260 Alturas C,Attorney General,,,XAVIER BECERRA,106,4,64,38,0,Modoc
280 Alturas A,Attorney General,,,XAVIER BECERRA,48,1,35,12,0,Modoc
320 Alturas D,Attorney General,,,XAVIER BECERRA,88,5,48,35,0,Modoc
360 Parker Creek,Attorney General,,,XAVIER BECERRA,20,0,0,0,20,Modoc
380 South Fork,Attorney General,,,XAVIER BECERRA,14,0,0,0,14,Modoc
400 Hot Spring,Attorney General,,,XAVIER BECERRA,38,2,27,9,0,Modoc
410 Cal Pines,Attorney General,,,XAVIER BECERRA,67,6,41,20,0,Modoc
420 Canby,Attorney General,,,XAVIER BECERRA,45,1,0,0,44,Modoc
440 Adin,Attorney General,,,XAVIER BECERRA,32,0,0,0,32,Modoc
460 Lookout,Attorney General,,,XAVIER BECERRA,24,0,0,0,24,Modoc
480 Little Hot Spring (Day),Attorney General,,,XAVIER BECERRA,19,0,0,0,19,Modoc
500 Newell,Attorney General,,,XAVIER BECERRA,48,2,28,18,0,Modoc
MODOC CA,Attorney General,,,XAVIER BECERRA,885,29,383,197,276,Modoc
020 Fort Bidwell,Insurance Commissioner,,,RICARDO LARA,21,0,0,0,21,Modoc
040 Lake City,Insurance Commissioner,,,RICARDO LARA,26,0,0,0,26,Modoc
060 Cedarville,Insurance Commissioner,,,RICARDO LARA,105,3,58,44,0,Modoc
080 Eagleville,Insurance Commissioner,,,RICARDO LARA,13,1,0,0,12,Modoc
100 Dry Creek,Insurance Commissioner,,,RICARDO LARA,28,0,0,0,28,Modoc
140 Stateline-Willow Ranch,Insurance Commissioner,,,RICARDO LARA,14,1,0,0,13,Modoc
160 Davis Creek,Insurance Commissioner,,,RICARDO LARA,10,0,0,0,10,Modoc
180 North Fork,Insurance Commissioner,,,RICARDO LARA,56,3,41,12,0,Modoc
200 Alturas B,Insurance Commissioner,,,RICARDO LARA,37,1,23,13,0,Modoc
260 Alturas C,Insurance Commissioner,,,RICARDO LARA,92,4,56,32,0,Modoc
280 Alturas A,Insurance Commissioner,,,RICARDO LARA,57,2,38,17,0,Modoc
320 Alturas D,Insurance Commissioner,,,RICARDO LARA,71,4,42,25,0,Modoc
360 Parker Creek,Insurance Commissioner,,,RICARDO LARA,12,0,0,0,12,Modoc
380 South Fork,Insurance Commissioner,,,RICARDO LARA,13,0,0,0,13,Modoc
400 Hot Spring,Insurance Commissioner,,,RICARDO LARA,32,0,26,6,0,Modoc
410 Cal Pines,Insurance Commissioner,,,RICARDO LARA,57,3,36,18,0,Modoc
420 Canby,Insurance Commissioner,,,RICARDO LARA,35,1,0,0,34,Modoc
440 Adin,Insurance Commissioner,,,RICARDO LARA,35,0,0,0,35,Modoc
460 Lookout,Insurance Commissioner,,,RICARDO LARA,21,0,0,0,21,Modoc
480 Little Hot Spring (Day),Insurance Commissioner,,,RICARDO LARA,13,0,0,0,13,Modoc
500 Newell,Insurance Commissioner,,,RICARDO LARA,48,2,26,20,0,Modoc
MODOC CA,Insurance Commissioner,,,RICARDO LARA,796,25,346,187,238,Modoc
020 Fort Bidwell,Insurance Commissioner,,,STEVE POIZNER,43,1,0,0,42,Modoc
040 Lake City,Insurance Commissioner,,,STEVE POIZNER,63,0,0,0,63,Modoc
060 Cedarville,Insurance Commissioner,,,STEVE POIZNER,162,2,97,63,0,Modoc
080 Eagleville,Insurance Commissioner,,,STEVE POIZNER,44,0,0,0,44,Modoc
100 Dry Creek,Insurance Commissioner,,,STEVE POIZNER,71,3,0,0,68,Modoc
140 Stateline-Willow Ranch,Insurance Commissioner,,,STEVE POIZNER,27,0,0,0,27,Modoc
160 Davis Creek,Insurance Commissioner,,,STEVE POIZNER,43,0,0,0,43,Modoc
180 North Fork,Insurance Commissioner,,,STEVE POIZNER,268,9,177,82,0,Modoc
200 Alturas B,Insurance Commissioner,,,STEVE POIZNER,77,3,56,18,0,Modoc
260 Alturas C,Insurance Commissioner,,,STEVE POIZNER,205,6,119,80,0,Modoc
280 Alturas A,Insurance Commissioner,,,STEVE POIZNER,115,4,73,38,0,Modoc
320 Alturas D,Insurance Commissioner,,,STEVE POIZNER,147,6,90,51,0,Modoc
360 Parker Creek,Insurance Commissioner,,,STEVE POIZNER,81,1,0,0,80,Modoc
380 South Fork,Insurance Commissioner,,,STEVE POIZNER,54,0,0,0,54,Modoc
400 Hot Spring,Insurance Commissioner,,,STEVE POIZNER,195,6,134,55,0,Modoc
410 Cal Pines,Insurance Commissioner,,,STEVE POIZNER,133,7,82,44,0,Modoc
420 Canby,Insurance Commissioner,,,STEVE POIZNER,87,1,0,0,86,Modoc
440 Adin,Insurance Commissioner,,,STEVE POIZNER,112,1,0,0,111,Modoc
460 Lookout,Insurance Commissioner,,,STEVE POIZNER,129,1,0,0,128,Modoc
480 Little Hot Spring (Day),Insurance Commissioner,,,STEVE POIZNER,39,0,0,0,39,Modoc
500 Newell,Insurance Commissioner,,,STEVE POIZNER,174,2,94,78,0,Modoc
MODOC CA,Insurance Commissioner,,,STEVE POIZNER,2269,53,922,509,785,Modoc
020 Fort Bidwell,U.S. Senate,,,DIANNE FEINSTEIN,21,1,0,0,20,Modoc
040 Lake City,U.S. Senate,,,DIANNE FEINSTEIN,24,0,0,0,24,Modoc
060 Cedarville,U.S. Senate,,,DIANNE FEINSTEIN,74,2,37,35,0,Modoc
080 Eagleville,U.S. Senate,,,DIANNE FEINSTEIN,11,0,0,0,11,Modoc
100 Dry Creek,U.S. Senate,,,DIANNE FEINSTEIN,22,0,0,0,22,Modoc
140 Stateline-Willow Ranch,U.S. Senate,,,DIANNE FEINSTEIN,16,0,0,0,16,Modoc
160 Davis Creek,U.S. Senate,,,DIANNE FEINSTEIN,10,0,0,0,10,Modoc
180 North Fork,U.S. Senate,,,DIANNE FEINSTEIN,70,5,49,16,0,Modoc
200 Alturas B,U.S. Senate,,,DIANNE FEINSTEIN,33,2,20,11,0,Modoc
260 Alturas C,U.S. Senate,,,DIANNE FEINSTEIN,79,2,50,27,0,Modoc
280 Alturas A,U.S. Senate,,,DIANNE FEINSTEIN,38,0,24,14,0,Modoc
320 Alturas D,U.S. Senate,,,DIANNE FEINSTEIN,71,2,40,29,0,Modoc
360 Parker Creek,U.S. Senate,,,DIANNE FEINSTEIN,16,0,0,0,16,Modoc
380 South Fork,U.S. Senate,,,DIANNE FEINSTEIN,19,0,0,0,19,Modoc
400 Hot Spring,U.S. Senate,,,DIANNE FEINSTEIN,45,1,28,16,0,Modoc
